Title,Date,Rating,Review
Brilliant use of fermented dough,2023-01-08,5,Their 72-hour fermented dough has incredible depth of flavor with subtle sourdough notes. The extended fermentation creates a complex web of flavors and perfect texture that you simply can't achieve with quick-rise methods.
Perfect for large parties,2024-06-06,5,"Their party package is fantastic - multiple 18-inch pizzas with varied toppings, plenty of sides, and they were accommodating with our group of 20. Everything arrived hot and on time, and they included all the necessary paper goods."
Best pizza in town,2024-09-05,5,"The crust was perfectly crispy on the outside and chewy inside. Their signature pepperoni pizza had the perfect ratio of sauce to cheese, and the pepperoni curled up into little cups of deliciousness. Will definitely be back!"
Exceptional sauce-making technique,2023-12-18,5,"You can tell their sauce is made with properly hand-crushed tomatoes - it has that perfect texture with small chunks rather than being completely smooth. The bright flavor suggests minimal cooking, allowing the tomato quality to shine."
Cheese solidified too quickly,2023-09-02,2,"The cheese hardened into a solid mass before we were even halfway through the pizza. By the end, it was like eating a cheese cracker on bread. Suggests poor quality cheese or improper handling."
Perfect balance of flavors,2025-02-10,5,"Their 'Mediterranean' pizza has the perfect balance of flavors - the briny olives, tangy feta, fresh tomatoes, and herb-infused olive oil all complement each other without any one element overwhelming the others."
Weird aftertaste,2025-05-29,2,"Everything seemed fine at first bite, but there was a strange metallic aftertaste that became more pronounced as I continued eating. Not sure if it was the sauce or something in their water for the dough."
Unmelted cheese in the center,2023-05-20,2,"The edges were fine but the center had cold, unmelted cheese - a sign the oven wasn't hot enough or the pizza wasn't cooked long enough. Basic pizza fundamentals seem to be lacking."
Authentic coal-fired perfection,2023-05-22,5,Their coal-fired oven gives the pizza a distinctive char and smoky flavor that's impossible to replicate any other way. The slight bitterness of the charred spots perfectly balances the sweetness of the sauce.
Masterclass in proper baking,2024-02-20,5,"Watching the pizzaiolo work the oven is like watching an artist - constantly rotating pizzas, adjusting their position based on hot spots, and pulling each one at precisely the right moment. This attention to the baking process makes all the difference."
Dirty restaurant,2023-01-24,1,"I was shocked at the state of this place. Tables were sticky, floors were dirty, and I could see into the kitchen which didn't look any better. Couldn't enjoy my pizza as I was too concerned about hygiene standards."
Outstanding breakfast pizza,2024-06-23,5,"Their brunch pizza with bacon, eggs, and hollandaise sauce is incredible. The eggs are perfectly cooked with runny yolks that create a rich sauce when broken. Worth waking up early for weekend brunch!"
Perfect ingredient distribution,2024-11-29,5,"Every bite had the perfect combination of ingredients - no barren spots, no overwhelming clumps. The toppings were distributed with such precision it almost seemed measured. The mark of true professionals!"
Perfect thin crust,2023-05-10,5,"If you're a thin crust fan, this is your place. Cracker-thin, crispy all the way through, yet somehow still has a nice chew. Their simple cheese pizza showcases their excellent sauce - slightly sweet with a nice herb blend."
Masterclass in proper baking,2024-08-18,5,"Watching the pizzaiolo work the oven is like watching an artist - constantly rotating pizzas, adjusting their position based on hot spots, and pulling each one at precisely the right moment. This attention to the baking process makes all the difference."
Painfully obvious cheap ingredients,2023-05-18,2,"The pre-shredded cheese didn't melt properly, the sauce tasted like it came from a can, and the sausage had that distinctive processed flavor. At these prices, cutting corners on ingredients is inexcusable."
Creative seasonal specials,2023-09-03,5,"Just had their spring special with asparagus, lemon ricotta, and prosciutto. The combination was bright, fresh, and perfect for the season. Love that they use local, seasonal ingredients."
Perfect for picky eaters,2023-11-07,4,Their 'build your own quarter' option is genius - a large pizza divided into quadrants with different toppings. Perfect for our family where everyone wants something different. No more ordering multiple pizzas!
Perfect NY-style slices,2024-11-07,5,"As a transplant from NYC, I've been searching for authentic NY-style pizza. This place nails it - thin, foldable slices with the right amount of chew and grease. Their plain cheese slice is perfection."
Too noisy for conversation,2023-05-04,3,The pizza was good - I especially liked their sausage and mushroom combination - but the restaurant is like an echo chamber. Couldn't hear my date across the table. Better as a takeout option.
Excellent customer service,2024-06-28,5,"Made a mistake on my online order and called the restaurant in a panic. They were so accommodating - halted production on the wrong pizza, made the correction, and even threw in free garlic knots for the trouble."
Perfect for dietary restrictions,2023-08-20,5,"As someone with multiple food allergies, I appreciate that they take dietary concerns seriously. Their allergen matrix is comprehensive, staff is knowledgeable, and they have proper protocols to prevent cross-contamination. Finally can enjoy pizza safely!"
Underwhelming and basic,2023-10-28,3,"Nothing particularly wrong with it, but nothing memorable either. Standard crust, standard sauce, standard toppings. In a city with so many pizza options, this place doesn't give you any reason to return."
Lackluster veggie options,2024-11-01,3,"Their vegetable toppings lacked freshness and flavor - the mushrooms were clearly canned, the peppers were soft and faded, and the onions were sparse. Disappointing for a place that advertises farm-fresh ingredients."
Sauce had an odd chemical taste,2023-10-12,2,The sauce had a strange artificial flavor - almost like they used sauce mix rather than real tomatoes. Had an unpleasant chemical aftertaste that lingered long after eating. Very disappointing.
Too much cornmeal,2025-01-22,3,"They use cornmeal on the bottom of the crust to prevent sticking, which is standard, but they use so much that it's like eating pizza on a sandpaper surface. Gritty texture overwhelms the experience."
Overpriced for what you get,2024-02-27,3,"$24 for a medium pizza with just two toppings seems excessive. The ingredients were fresh and the crust was good, but nothing justified the premium price. There are better values elsewhere in town."
Burnt crust ruins it,2024-07-21,2,"They claim 'char' is part of the Neapolitan experience, but there's a difference between char and burnt. The entire bottom of my pizza was black and bitter. Scraping it off meant losing half the crust."
Epic meat lovers option,2025-02-05,4,"If you're a carnivore, their 'Butcher's Block' pizza is incredible. Five different meats, all high quality - the soppressata and house-made sausage are standouts. Just be ready for a food coma afterward!"
Authentic Italian experience,2025-03-05,5,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy."
Not worth the wait,2025-06-27,3,"90-minute wait on a Thursday night with no option to call ahead. The pizza was good when we finally got it, but nothing special enough to justify such a long wait. Many comparable options with better systems."
Perfect for picky eaters,2023-07-20,4,Their 'build your own quarter' option is genius - a large pizza divided into quadrants with different toppings. Perfect for our family where everyone wants something different. No more ordering multiple pizzas!
Amazing Detroit-style,2023-12-18,5,"Their Detroit-style square pizza is incredible - crispy cheese edges, fluffy interior, and those corner pieces are to die for! The pepperoni cup and char perfectly. Worth the 30-minute wait."
Authentic Italian experience,2023-10-23,5,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy."
False advertising on size,2024-11-26,2,"Their menu clearly states that a large pizza is 16 inches, but what we received couldn't have been more than 14 inches. When questioned, they claimed their menu was outdated but refused any adjustment."
Perfect for dietary restrictions,2024-06-10,5,"As someone with multiple food allergies, I appreciate that they take dietary concerns seriously. Their allergen matrix is comprehensive, staff is knowledgeable, and they have proper protocols to prevent cross-contamination. Finally can enjoy pizza safely!"
Refrigerated dough taste,2025-04-22,2,"The crust had that distinctive 'refrigerator' taste that comes from dough that's been sitting around too long. Fresh dough has a sweet, yeasty flavor - this had none of that. Clearly not made fresh daily as advertised."
Perfect for picky eaters,2023-10-08,4,Their 'build your own quarter' option is genius - a large pizza divided into quadrants with different toppings. Perfect for our family where everyone wants something different. No more ordering multiple pizzas!
Not enough cheese,2024-02-03,3,"The sauce and crust were good, but they're stingy with cheese. You could see the sauce through the sparse cheese layer, and what was there didn't have that stretchy pull you want from a good pizza."
Disappointed with service,2024-12-06,2,"While the pizza itself was decent, we waited over an hour for delivery despite being told it would be 30 minutes. When it finally arrived, it was barely warm. The flavors were good but the experience ruined it."
Dirty restaurant,2025-01-10,1,"I was shocked at the state of this place. Tables were sticky, floors were dirty, and I could see into the kitchen which didn't look any better. Couldn't enjoy my pizza as I was too concerned about hygiene standards."
Righteous ranch drizzle,2024-05-12,5,Their house-made ranch drizzle takes their pizzas to another level. It's not your typical ranch - has hints of dill and garlic with a perfect consistency that adds creaminess without making things soggy.
Magnificent flavor layering,2025-03-23,5,"The thoughtful layering of ingredients creates a perfect progression of flavors - the spicy soppressata reveals the sweetness of the roasted red peppers, which contrasts with the brininess of the olives. Every bite is a journey."
Too much sauce,2024-06-09,3,"The ingredients seemed high quality, but they absolutely drown their pizzas in sauce. My crust was soggy in minutes, and all I could taste was tomato. Asked for light sauce on a second pizza and it was much better."
Perfect pepperoni placement,2024-10-06,5,"As a pepperoni perfectionist, I appreciate that they space the pepperoni so every bite gets one full piece. No bare spots or clumped areas. Shows attention to detail that elevates the whole experience."
Tasteless cheese substitute,2024-09-20,2,"Their vegan cheese option was terrible - had no meltability, a grainy texture, and tasted strongly of coconut which clashed with the tomato sauce. If you can't do vegan cheese well, better to offer cheese-free options that are properly balanced."
Masterclass in proper baking,2023-06-13,5,"Watching the pizzaiolo work the oven is like watching an artist - constantly rotating pizzas, adjusting their position based on hot spots, and pulling each one at precisely the right moment. This attention to the baking process makes all the difference."
Outstanding variety of options,2023-12-17,5,"Their menu has something for everyone - traditional options done well, creative specialties, and customizable choices. Even have dessert pizzas that are surprisingly good (try the Nutella and banana!)."
Toppings slide right off,2025-06-14,2,The ratio of sauce to cheese was so off that all the toppings slid off with the first bite. Ended up eating what was essentially dough with sauce while the cheese and toppings formed a pile on my plate.
Perfect balance of flavors,2024-04-05,5,"Their 'Mediterranean' pizza has the perfect balance of flavors - the briny olives, tangy feta, fresh tomatoes, and herb-infused olive oil all complement each other without any one element overwhelming the others."
Greasy and disappointing,2023-05-12,2,"I had high hopes based on the reviews, but my pizza was swimming in grease. The crust was undercooked in the center, and the promised 'fresh vegetables' looked and tasted canned. Such a letdown."
Refrigerated dough taste,2025-02-04,2,"The crust had that distinctive 'refrigerator' taste that comes from dough that's been sitting around too long. Fresh dough has a sweet, yeasty flavor - this had none of that. Clearly not made fresh daily as advertised."
Exceptional spinach ricotta pie,2023-03-27,5,Their white pizza with spinach and ricotta is exceptional - the creamy richness of the cheese balanced by the slight bitterness of the greens. The garlic-infused olive oil base ties everything together perfectly.
Cold center burnt edges,2024-01-17,2,The pizza looked beautiful but had serious temperature issues - edges were burnt while the center was barely warm with undermelted cheese. Clear sign of an oven that's not properly calibrated or monitored.
Painfully obvious cheap ingredients,2023-10-28,2,"The pre-shredded cheese didn't melt properly, the sauce tasted like it came from a can, and the sausage had that distinctive processed flavor. At these prices, cutting corners on ingredients is inexcusable."
Perfect for large parties,2024-05-08,5,"Their party package is fantastic - multiple 18-inch pizzas with varied toppings, plenty of sides, and they were accommodating with our group of 20. Everything arrived hot and on time, and they included all the necessary paper goods."
Tomato sauce tasted rancid,2024-03-05,1,"The sauce had a distinctly off flavor that suggested the tomatoes had gone bad before processing. After two bites, couldn't continue eating as the rancid notes became more pronounced. Basic food safety seems questionable."
Perfect niche for Roman-style pizza,2023-01-16,5,"Their Roman-style pizza al taglio (rectangular, with a focaccia-like base) is a welcome alternative to the usual round pies. The airy, light crust holds up wonderfully to the creative topping combinations. A distinctive option in a crowded pizza market."
Excellent for takeout,2025-01-22,4,"Their pizza travels remarkably well. Even after a 20-minute drive home, the crust was still crispy and everything was at the perfect temperature. They have their packaging technique down to a science."
Inconsistent quality,2024-01-25,3,I've been here three times. First visit: amazing. Second: terrible. Third: just okay. Seems like it really depends on who's working that day. Wish they could maintain better quality control.
Undercooked in the middle,2024-08-09,2,"The edges of the pizza were fine, but the middle was doughy and undercooked. The toppings were sliding off the soggy center. When I mentioned it, they just said that's how their pizza is supposed to be."
Perfect sauce-to-cheese ratio,2024-06-11,5,They've perfected the ratio of sauce to cheese - enough sauce to be flavorful and moist but not so much that it makes the crust soggy. The cheese covers evenly but isn't overwhelming. Technical perfection!
Exceptional sauce-making technique,2023-03-22,5,"You can tell their sauce is made with properly hand-crushed tomatoes - it has that perfect texture with small chunks rather than being completely smooth. The bright flavor suggests minimal cooking, allowing the tomato quality to shine."
Too noisy for conversation,2023-12-21,3,The pizza was good - I especially liked their sausage and mushroom combination - but the restaurant is like an echo chamber. Couldn't hear my date across the table. Better as a takeout option.
Perfect pepperoni placement,2025-01-03,5,"As a pepperoni perfectionist, I appreciate that they space the pepperoni so every bite gets one full piece. No bare spots or clumped areas. Shows attention to detail that elevates the whole experience."
Crispy yet chewy perfection,2024-12-25,5,"How they achieve a crust that's simultaneously crispy on the outside and chewy inside is beyond me, but it's perfect. The contrast in textures makes every bite interesting, and it holds up well to the toppings."
Crispy yet chewy perfection,2023-03-26,5,"How they achieve a crust that's simultaneously crispy on the outside and chewy inside is beyond me, but it's perfect. The contrast in textures makes every bite interesting, and it holds up well to the toppings."
Burnt crust ruins it,2023-03-19,2,"They claim 'char' is part of the Neapolitan experience, but there's a difference between char and burnt. The entire bottom of my pizza was black and bitter. Scraping it off meant losing half the crust."
Underwhelming and basic,2025-04-05,3,"Nothing particularly wrong with it, but nothing memorable either. Standard crust, standard sauce, standard toppings. In a city with so many pizza options, this place doesn't give you any reason to return."
Perfect NY-style slices,2024-05-17,5,"As a transplant from NYC, I've been searching for authentic NY-style pizza. This place nails it - thin, foldable slices with the right amount of chew and grease. Their plain cheese slice is perfection."
Innovative flavor combinations,2024-03-05,5,"Their 'Avant Garde' menu section features combinations I would never have thought of but somehow work perfectly. The pear, gorgonzola, walnut, and honey pizza was a revelation of sweet, salty, and savory harmony."
Doughy and undercooked,2024-05-30,2,"The crust was still doughy and pale. When I mentioned it, they said that's their style, but it just seemed undercooked. The toppings were sliding off because there was no structure to hold them."
Perfect balance of herbs in the sauce,2024-03-11,5,"Their sauce has a complex herb profile that evolves as you eat - initial notes of basil give way to oregano, with subtle garlic and a hint of fennel in the finish. Clearly made by someone who understands flavor development."
Best white pizza ever,2025-01-29,5,"Their 'White Album' pizza with ricotta, mozzarella, garlic, and spinach is phenomenal. The cheeses are creamy but not heavy, and the fresh garlic adds the perfect punch. Don't skip the spicy honey drizzle!"
Crust like cardboard,2024-02-13,2,"The crust had all the flavor and texture of packing material - dry, tough, and completely devoid of character. Even the decent toppings couldn't save it. The foundation of good pizza is good dough, and this wasn't it."
Perfect temperature every time,2025-03-31,5,"However they do it, their pizza always arrives at the perfect temperature - hot enough that the cheese is still stretchy but not so hot that it burns your mouth. Consistently excellent, even on busy nights."
Creative seasonal specials,2024-05-04,5,"Just had their spring special with asparagus, lemon ricotta, and prosciutto. The combination was bright, fresh, and perfect for the season. Love that they use local, seasonal ingredients."
Perfect for dietary restrictions,2023-10-07,5,"As someone with multiple food allergies, I appreciate that they take dietary concerns seriously. Their allergen matrix is comprehensive, staff is knowledgeable, and they have proper protocols to prevent cross-contamination. Finally can enjoy pizza safely!"
Too much cornmeal,2025-02-10,3,"They use cornmeal on the bottom of the crust to prevent sticking, which is standard, but they use so much that it's like eating pizza on a sandpaper surface. Gritty texture overwhelms the experience."
Outstanding variety of options,2023-07-12,5,"Their menu has something for everyone - traditional options done well, creative specialties, and customizable choices. Even have dessert pizzas that are surprisingly good (try the Nutella and banana!)."
Too much salt in the dough,2024-04-20,2,The crust was so salty it was almost inedible - overwhelmed all the other flavors and left me incredibly thirsty afterward. A heavy hand with salt ruined what could have been a good pizza.
Weird aftertaste,2023-11-01,2,"Everything seemed fine at first bite, but there was a strange metallic aftertaste that became more pronounced as I continued eating. Not sure if it was the sauce or something in their water for the dough."
Perfect crunch factor,2023-09-27,5,"The bottom of their crust has the perfect level of crunch - you hear it when you bite in, but it's not so hard that it hurts your mouth. Technical pizza perfection that's clearly the result of careful testing."
Too much salt in the dough,2024-01-29,2,The crust was so salty it was almost inedible - overwhelmed all the other flavors and left me incredibly thirsty afterward. A heavy hand with salt ruined what could have been a good pizza.
Too much emphasis on appearance,2023-07-07,3,"The pizza was clearly designed to look good in photos - perfect symmetry, vibrant colors, photogenic cheese pull - but the flavor was underwhelming. Style over substance for the Instagram crowd."
Creative seasonal specials,2024-01-24,5,"Just had their spring special with asparagus, lemon ricotta, and prosciutto. The combination was bright, fresh, and perfect for the season. Love that they use local, seasonal ingredients."
Cold center burnt edges,2025-05-03,2,The pizza looked beautiful but had serious temperature issues - edges were burnt while the center was barely warm with undermelted cheese. Clear sign of an oven that's not properly calibrated or monitored.
Excellent Chicago deep dish,2023-08-26,5,"Hard to find authentic Chicago-style pizza in this area, but they nail it. The buttery, flaky crust, the layering of cheese under the sauce, the chunky tomato topping - all perfect. Worth the 45-minute cook time."
Perfect crunch factor,2024-12-02,5,"The bottom of their crust has the perfect level of crunch - you hear it when you bite in, but it's not so hard that it hurts your mouth. Technical pizza perfection that's clearly the result of careful testing."
Authentic Italian experience,2023-04-21,5,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy."
Burnt crust ruins it,2024-10-09,2,"They claim 'char' is part of the Neapolitan experience, but there's a difference between char and burnt. The entire bottom of my pizza was black and bitter. Scraping it off meant losing half the crust."
Too much garlic,2024-09-06,3,"I love garlic but this was excessive - felt like they mistook cloves for teaspoons in the recipe. My breath was lethal afterward, and the powerful flavor overwhelmed the other ingredients."
Sauce had an odd chemical taste,2025-05-25,2,The sauce had a strange artificial flavor - almost like they used sauce mix rather than real tomatoes. Had an unpleasant chemical aftertaste that lingered long after eating. Very disappointing.
Family night favorite,2025-02-14,5,"We bring our kids here every Friday night. The staff always make them feel special, providing dough for them to play with while we wait. Their kid-sized pizzas are perfect, and the parents love the craft beer selection."
Perfect NY-style slices,2025-01-07,5,"As a transplant from NYC, I've been searching for authentic NY-style pizza. This place nails it - thin, foldable slices with the right amount of chew and grease. Their plain cheese slice is perfection."
Too much cornmeal,2024-02-02,3,"They use cornmeal on the bottom of the crust to prevent sticking, which is standard, but they use so much that it's like eating pizza on a sandpaper surface. Gritty texture overwhelms the experience."
Expert-level pizza folding,2025-03-24,5,Their thin-crust slices fold perfectly New York-style without cracking or losing toppings. The slight resistance before the fold is exactly what you want - showing the perfect balance of crisp and chew.
Rude staff ruined the meal,2024-09-08,2,"The pizza itself was decent, but the counter staff was incredibly rude - sighing when I asked questions about ingredients, rushing my order, and actually rolling their eyes when I requested extra napkins."
Skimpy on toppings,2023-08-19,3,"The quality of ingredients is good, but they're incredibly stingy with toppings. Counted just 10 pepperoni slices on a 14-inch pizza. For the price they charge, this feels like a rip-off."
Too much cornmeal,2025-06-25,3,"They use cornmeal on the bottom of the crust to prevent sticking, which is standard, but they use so much that it's like eating pizza on a sandpaper surface. Gritty texture overwhelms the experience."
Tiny portion sizes,2024-10-07,2,"Their 'personal' pizza is the size of a CD. For $15, I expected something that would actually satisfy my hunger. Had to order a second one, turning a quick lunch into an expensive disappointment."
Terrible delivery experience,2023-07-21,1,"Ordered for Valentine's Day and regretted it. Pizza took 2 hours to arrive, was cold, and had the wrong toppings. Called the restaurant and they seemed completely unconcerned. Never again."
Painfully obvious cheap ingredients,2024-10-30,2,"The pre-shredded cheese didn't melt properly, the sauce tasted like it came from a can, and the sausage had that distinctive processed flavor. At these prices, cutting corners on ingredients is inexcusable."
Epic meat lovers option,2024-08-05,4,"If you're a carnivore, their 'Butcher's Block' pizza is incredible. Five different meats, all high quality - the soppressata and house-made sausage are standouts. Just be ready for a food coma afterward!"
All style no substance,2023-11-15,3,"The restaurant looks trendy and their branding is cool, but the pizza itself is just average. Seems like they invested more in Instagram-worthy décor than in developing a distinctive, delicious product."
Perfect for kids' parties,2023-11-14,5,"Hosted my son's birthday here and it was fantastic. They did a dough-tossing demonstration for the kids, let them make their own mini pizzas, and the staff was incredibly patient and kind."
Stale-tasting crust,2023-10-09,2,"The crust had a stale, almost cardboard-like quality that suggests either old dough or old flour. Fresh ingredients on top couldn't compensate for the foundation being off."
Sauce like ketchup,2025-01-10,2,"The sauce was suspiciously sweet and one-dimensional, reminiscent of ketchup rather than a proper pizza sauce. No evidence of herbs, garlic, or any complexity. Ruined what otherwise could have been a decent pizza."
Best Hawaiian in the city,2024-08-10,5,"I know Hawaiian pizza is controversial, but if you're a fan, you must try theirs. They use fresh pineapple (not canned) and house-cured ham that's sliced thick. The sweet and salty balance is perfect."
Too much salt in the dough,2025-01-19,2,The crust was so salty it was almost inedible - overwhelmed all the other flavors and left me incredibly thirsty afterward. A heavy hand with salt ruined what could have been a good pizza.
Excellent for takeout,2024-10-30,4,"Their pizza travels remarkably well. Even after a 20-minute drive home, the crust was still crispy and everything was at the perfect temperature. They have their packaging technique down to a science."
Supreme quality control,2025-02-28,5,"Visited multiple times and the consistency is impressive - every pizza comes out identical to the last one, with the same excellent quality. Shows serious commitment to training and standards that's rare in casual dining."
Too thin to be satisfying,2023-01-17,3,"Their ultra-thin crust might appeal to some, but it was too insubstantial to be satisfying. Felt like I was eating toppings on a cracker rather than a proper pizza. Left still feeling hungry."
Unmelted cheese in the center,2023-04-13,2,"The edges were fine but the center had cold, unmelted cheese - a sign the oven wasn't hot enough or the pizza wasn't cooked long enough. Basic pizza fundamentals seem to be lacking."
Perfect textural contrast,2023-10-15,5,"The contrast between the crisp bottom, the tender interior crumb, the gooey cheese, and the slight resistance of the toppings creates a textural symphony. Each bite is interesting and satisfying in a different way."
Too noisy for conversation,2023-04-17,3,The pizza was good - I especially liked their sausage and mushroom combination - but the restaurant is like an echo chamber. Couldn't hear my date across the table. Better as a takeout option.
Not enough cheese,2023-03-30,3,"The sauce and crust were good, but they're stingy with cheese. You could see the sauce through the sparse cheese layer, and what was there didn't have that stretchy pull you want from a good pizza."
Underwhelming and basic,2025-03-21,3,"Nothing particularly wrong with it, but nothing memorable either. Standard crust, standard sauce, standard toppings. In a city with so many pizza options, this place doesn't give you any reason to return."
Excellent beer pairing suggestions,2024-09-18,5,"Not only is their pizza excellent (try the fig and prosciutto!), but the staff is knowledgeable about their craft beer selection and can suggest the perfect pairing for whatever pizza you order."
Tiny portion sizes,2025-01-13,2,"Their 'personal' pizza is the size of a CD. For $15, I expected something that would actually satisfy my hunger. Had to order a second one, turning a quick lunch into an expensive disappointment."
Burned bottom raw top,2025-05-06,1,The bottom of the crust was completely black while the cheese on top wasn't fully melted. This temperature imbalance suggests serious issues with their oven management and pizza-making technique.
Cheese solidified too quickly,2023-07-24,2,"The cheese hardened into a solid mass before we were even halfway through the pizza. By the end, it was like eating a cheese cracker on bread. Suggests poor quality cheese or improper handling."
Supreme quality control,2024-04-20,5,"Visited multiple times and the consistency is impressive - every pizza comes out identical to the last one, with the same excellent quality. Shows serious commitment to training and standards that's rare in casual dining."
Cheese solidified too quickly,2025-03-06,2,"The cheese hardened into a solid mass before we were even halfway through the pizza. By the end, it was like eating a cheese cracker on bread. Suggests poor quality cheese or improper handling."
Inconsistent quality,2024-08-25,3,I've been here three times. First visit: amazing. Second: terrible. Third: just okay. Seems like it really depends on who's working that day. Wish they could maintain better quality control.
Brilliant use of fermented dough,2025-01-25,5,Their 72-hour fermented dough has incredible depth of flavor with subtle sourdough notes. The extended fermentation creates a complex web of flavors and perfect texture that you simply can't achieve with quick-rise methods.
Rude staff ruined the meal,2023-11-03,2,"The pizza itself was decent, but the counter staff was incredibly rude - sighing when I asked questions about ingredients, rushing my order, and actually rolling their eyes when I requested extra napkins."
Epic meat lovers option,2024-02-13,4,"If you're a carnivore, their 'Butcher's Block' pizza is incredible. Five different meats, all high quality - the soppressata and house-made sausage are standouts. Just be ready for a food coma afterward!"
Pizza arrived upside-down,2023-07-21,1,Delivery driver must have taken a sharp turn because our pizza arrived completely flipped over in the box - all toppings stuck to the lid. Restaurant offered no solution other than suggesting we 'scrape it off and reassemble it.'
Weird aftertaste,2024-06-26,2,"Everything seemed fine at first bite, but there was a strange metallic aftertaste that became more pronounced as I continued eating. Not sure if it was the sauce or something in their water for the dough."
Bland sauce needs work,2023-10-01,3,"The crust had a nice texture and the toppings were fine, but the sauce lacked any personality - no hint of herbs, garlic, or even salt. Since sauce is the foundation of a good pizza, this was disappointing."
Sloppy presentation,2023-08-22,3,"The pizza looked like it had been assembled in a hurry - toppings haphazardly thrown on, cheese unevenly distributed, and the cutting was so uneven that some slices were twice the size of others. Taste was okay, but appearance matters too."
Too greasy to enjoy,2024-04-17,2,"Had to literally blot my pizza with napkins, which came away completely saturated with grease. Whatever flavor might have been there was drowned in oil. Couldn't finish it as it was making me feel ill."
Too greasy to enjoy,2025-06-02,2,"Had to literally blot my pizza with napkins, which came away completely saturated with grease. Whatever flavor might have been there was drowned in oil. Couldn't finish it as it was making me feel ill."
Phenomenal crust,2023-07-24,5,"Whatever they do to their dough is magical - it's got that perfect combination of crispy and chewy with a slight sourdough tang. I could eat their plain crust by itself, it's that good."
Late night savior,2025-05-14,4,"Open until 2am on weekends, this place has saved me many times after a night out. Their slices are huge, reheated perfectly crisp, and they have creative toppings that hit the spot when you're hungry late at night."
Excellent Chicago deep dish,2023-10-05,5,"Hard to find authentic Chicago-style pizza in this area, but they nail it. The buttery, flaky crust, the layering of cheese under the sauce, the chunky tomato topping - all perfect. Worth the 45-minute cook time."
Authentic Italian experience,2024-11-12,5,"This place reminds me of the pizzerias in Naples. Their wood-fired Margherita pizza has that perfect char, fresh basil, and buffalo mozzarella that melts in your mouth. The owner even came out to chat with us about Italy."
Fresh ingredients make the difference,2023-05-08,5,"You can taste the difference in their sauce - clearly made from fresh tomatoes, not canned. Same with their vegetable toppings - all crisp and fresh. Makes other pizza places seem processed in comparison."
Family night favorite,2024-04-29,5,"We bring our kids here every Friday night. The staff always make them feel special, providing dough for them to play with while we wait. Their kid-sized pizzas are perfect, and the parents love the craft beer selection."
Creative seasonal specials,2024-03-23,5,"Just had their spring special with asparagus, lemon ricotta, and prosciutto. The combination was bright, fresh, and perfect for the season. Love that they use local, seasonal ingredients."
Righteous ranch drizzle,2023-06-23,5,Their house-made ranch drizzle takes their pizzas to another level. It's not your typical ranch - has hints of dill and garlic with a perfect consistency that adds creaminess without making things soggy.
Bland sauce needs work,2025-06-05,3,"The crust had a nice texture and the toppings were fine, but the sauce lacked any personality - no hint of herbs, garlic, or even salt. Since sauce is the foundation of a good pizza, this was disappointing."
Too greasy to enjoy,2025-01-24,2,"Had to literally blot my pizza with napkins, which came away completely saturated with grease. Whatever flavor might have been there was drowned in oil. Couldn't finish it as it was making me feel ill."
Best Hawaiian in the city,2023-05-09,5,"I know Hawaiian pizza is controversial, but if you're a fan, you must try theirs. They use fresh pineapple (not canned) and house-cured ham that's sliced thick. The sweet and salty balance is perfect."
Magnificent flavor layering,2025-01-30,5,"The thoughtful layering of ingredients creates a perfect progression of flavors - the spicy soppressata reveals the sweetness of the roasted red peppers, which contrasts with the brininess of the olives. Every bite is a journey."
Perfectly crispy crust,2023-04-18,5,"However they achieve it, their crust has the perfect crispness all the way through - no soggy middle! Even the slices with lots of toppings maintain their structural integrity. Engineering marvel of pizza."
Sloppy presentation,2024-04-16,3,"The pizza looked like it had been assembled in a hurry - toppings haphazardly thrown on, cheese unevenly distributed, and the cutting was so uneven that some slices were twice the size of others. Taste was okay, but appearance matters too."
Perfect pepperoni placement,2024-05-07,5,"As a pepperoni perfectionist, I appreciate that they space the pepperoni so every bite gets one full piece. No bare spots or clumped areas. Shows attention to detail that elevates the whole experience."
Stale-tasting crust,2025-06-10,2,"The crust had a stale, almost cardboard-like quality that suggests either old dough or old flour. Fresh ingredients on top couldn't compensate for the foundation being off."
No flavor distinction,2023-08-29,3,Ordered two completely different specialty pizzas but they somehow tasted nearly identical. It's like they use the same base for everything and the toppings don't impart enough distinctive character.
Toppings slide right off,2024-12-30,2,The ratio of sauce to cheese was so off that all the toppings slid off with the first bite. Ended up eating what was essentially dough with sauce while the cheese and toppings formed a pile on my plate.
New owners ruined it,2024-12-22,2,"This used to be our favorite place, but it changed hands three months ago and it's not the same. The dough doesn't have the same flavor, the sauce is too sweet now, and they seem to use lower quality cheese."
Epic meat lovers option,2024-03-31,4,"If you're a carnivore, their 'Butcher's Block' pizza is incredible. Five different meats, all high quality - the soppressata and house-made sausage are standouts. Just be ready for a food coma afterward!"
